Product ID,Inventory Level,predicted_demand,low_stock_flag,reorder_quantity
P0005,411,249.81,NO,0.0
P0004,415,51.81,NO,0.0
P0003,112,55.21,NO,0.0
P0002,388,212.43,NO,0.0
P0001,138,67.15,NO,0.0
P0019,409,228.43,NO,0.0
P0018,151,62.63,NO,0.0
P0017,236,61.96,NO,0.0
P0015,433,277.61,NO,0.0
P0014,342,184.2,NO,0.0
P0013,472,55.22,NO,0.0
P0012,193,101.6,NO,0.0
P0011,156,62.25,NO,0.0
P0010,419,209.14,NO,0.0
P0009,62,30.18,NO,0.0
P0008,218,57.75,NO,0.0
P0007,53,21.65,NO,0.0
P0006,160,83.83,NO,0.0
P0016,258,112.8,NO,0.0
P0020,117,54.07,NO,0.0
