Inventory Level,Price,Discount,day,month,weekday,lag_1,lag_7,rolling_mean_7,rolling_mean_14,Units Sold
175,83.63,15,3,1,0,100.0,343.0,67.14285714285714,115.71428571428571,66
159,36.3,0,3,1,0,66.0,114.0,51.285714285714285,106.85714285714286,3
85,77.88,15,4,1,1,3.0,22.0,56.42857142857143,103.57142857142857,58
108,45.49,5,4,1,1,58.0,67.0,58.714285714285715,99.0,83
335,81.01,20,4,1,1,83.0,5.0,96.71428571428571,99.0,271
487,20.39,15,4,1,1,271.0,96.0,103.71428571428571,103.85714285714286,145
383,21.71,20,4,1,1,145.0,100.0,117.28571428571429,112.0,195
238,28.46,20,5,1,2,195.0,66.0,128.85714285714286,98.0,147
250,56.24,15,5,1,2,147.0,3.0,151.42857142857142,101.35714285714286,161
388,93.06,0,5,1,2,161.0,58.0,150.71428571428572,103.57142857142857,53
201,57.58,10,5,1,2,53.0,83.0,167.14285714285714,112.92857142857143,198
371,40.47,20,5,1,2,198.0,271.0,139.0,117.85714285714286,74
198,91.05,5,6,1,3,74.0,145.0,123.57142857142857,113.64285714285714,37
131,28.58,10,6,1,3,37.0,195.0,107.28571428571429,112.28571428571429,81
223,96.28,15,6,1,3,81.0,147.0,110.57142857142857,119.71428571428571,170
185,16.86,20,6,1,3,170.0,161.0,102.0,126.71428571428571,101
333,34.92,15,6,1,3,101.0,53.0,122.28571428571429,136.5,195
195,53.99,10,7,1,4,195.0,198.0,109.28571428571429,138.21428571428572,107
394,85.79,5,7,1,4,107.0,74.0,120.14285714285714,129.57142857142858,150
388,66.68,15,7,1,4,150.0,37.0,120.42857142857143,122.0,39
164,91.6,20,7,1,4,39.0,81.0,110.71428571428571,109.0,13
227,41.28,15,7,1,4,13.0,170.0,100.28571428571429,105.42857142857143,97
231,66.3,20,8,1,5,97.0,101.0,86.14285714285714,94.07142857142857,2
349,90.22,20,8,1,5,2.0,195.0,107.0,114.64285714285714,341
370,72.31,20,8,1,5,341.0,107.0,129.42857142857142,119.35714285714286,264
62,24.71,20,8,1,5,264.0,150.0,111.28571428571429,115.71428571428571,23
107,21.2,20,8,1,5,23.0,39.0,113.28571428571429,116.85714285714286,53
373,41.72,0,9,1,6,53.0,13.0,161.42857142857142,136.07142857142858,350
361,78.43,15,9,1,6,350.0,97.0,169.71428571428572,135.0,155
139,84.48,0,9,1,6,155.0,2.0,185.42857142857142,135.78571428571428,112
391,80.62,0,9,1,6,112.0,341.0,172.85714285714286,139.92857142857142,253
412,89.6,20,9,1,6,253.0,264.0,193.42857142857142,161.42857142857142,408
327,32.68,5,10,1,0,408.0,23.0,195.28571428571428,153.28571428571428,36
117,31.79,5,10,1,0,36.0,53.0,193.71428571428572,153.5,42
126,21.01,15,10,1,0,42.0,350.0,151.85714285714286,156.64285714285714,57
310,20.82,0,10,1,0,57.0,155.0,169.71428571428572,169.71428571428572,280
101,30.18,15,10,1,0,280.0,112.0,157.0,171.21428571428572,23
101,27.53,5,11,1,1,23.0,253.0,123.14285714285714,148.0,16
294,20.51,20,11,1,1,16.0,408.0,71.71428571428571,132.57142857142858,48
366,42.12,0,11,1,1,48.0,36.0,67.42857142857143,131.35714285714286,6
147,54.34,0,11,1,1,6.0,42.0,67.85714285714286,130.78571428571428,45
208,31.82,10,11,1,1,45.0,57.0,88.85714285714286,120.35714285714286,204
145,92.92,0,12,1,2,204.0,280.0,63.714285714285715,116.71428571428571,104
340,47.51,10,12,1,2,104.0,23.0,105.28571428571429,131.14285714285714,314
444,79.47,20,12,1,2,314.0,16.0,127.0,125.07142857142857,168
56,46.26,20,12,1,2,168.0,48.0,125.71428571428571,98.71428571428571,39
132,60.36,5,12,1,2,39.0,6.0,125.71428571428571,96.57142857142857,6
110,17.27,15,13,1,3,6.0,45.0,130.71428571428572,99.28571428571429,80
469,44.84,15,13,1,3,80.0,204.0,146.85714285714286,117.85714285714286,317
218,83.14,10,13,1,3,317.0,104.0,132.28571428571428,98.0,2
206,35.78,20,13,1,3,2.0,314.0,111.85714285714286,108.57142857142857,171
215,46.64,15,13,1,3,171.0,168.0,96.85714285714286,111.92857142857143,63
199,90.05,20,14,1,4,63.0,39.0,116.57142857142857,121.14285714285714,177
81,35.05,20,14,1,4,177.0,6.0,122.14285714285714,123.92857142857143,45
159,22.88,20,14,1,4,45.0,80.0,121.57142857142857,126.14285714285714,76
93,64.07,20,14,1,4,76.0,317.0,81.85714285714286,114.35714285714286,39
65,30.03,10,14,1,4,39.0,2.0,90.57142857142857,111.42857142857143,63
290,98.04,10,15,1,5,63.0,171.0,91.28571428571429,101.57142857142857,176
79,62.09,0,15,1,5,176.0,63.0,85.0,90.92857142857143,19
349,51.29,5,15,1,5,19.0,177.0,90.0,103.28571428571429,212
429,99.7,20,15,1,5,212.0,45.0,92.0,107.07142857142857,59
409,12.0,20,15,1,5,59.0,76.0,98.28571428571429,109.92857142857143,120
104,11.39,15,16,1,6,120.0,39.0,106.57142857142857,94.21428571428571,97
264,82.33,15,16,1,6,97.0,63.0,115.42857142857143,103.0,125
150,24.69,15,16,1,6,125.0,176.0,92.57142857142857,91.92857142857143,16
213,68.89,5,16,1,6,16.0,19.0,114.14285714285714,99.57142857142857,170
403,16.41,15,16,1,6,170.0,212.0,104.14285714285714,97.07142857142857,142
134,95.27,0,17,1,0,142.0,59.0,105.57142857142857,98.78571428571429,69
75,79.17,15,17,1,0,69.0,120.0,93.14285714285714,95.71428571428571,33
172,69.29,20,17,1,0,33.0,97.0,93.0,99.78571428571429,96
238,15.89,15,17,1,0,96.0,125.0,100.42857142857143,107.92857142857143,177
369,72.68,5,17,1,0,177.0,16.0,124.0,108.28571428571429,181
339,90.7,15,18,1,1,181.0,170.0,117.28571428571429,115.71428571428571,123
126,25.42,10,18,1,1,123.0,142.0,104.0,104.07142857142857,49
444,93.41,20,18,1,1,49.0,69.0,125.71428571428571,115.64285714285714,221
480,15.05,20,18,1,1,221.0,33.0,174.57142857142858,133.85714285714286,375
186,83.8,15,18,1,1,375.0,96.0,166.57142857142858,129.78571428571428,40
431,97.97,10,19,1,2,40.0,177.0,171.42857142857142,135.92857142857142,211
159,27.97,0,19,1,2,211.0,181.0,158.28571428571428,141.14285714285714,89
482,19.35,20,19,1,2,89.0,123.0,193.28571428571428,155.28571428571428,368
313,45.51,20,19,1,2,368.0,49.0,202.85714285714286,153.42857142857142,116
191,25.25,5,19,1,2,116.0,221.0,197.85714285714286,161.78571428571428,186
154,10.38,0,20,1,3,186.0,375.0,155.57142857142858,165.07142857142858,79
335,74.03,5,20,1,3,79.0,40.0,181.85714285714286,174.21428571428572,224
201,40.4,20,20,1,3,224.0,211.0,154.42857142857142,162.92857142857142,19
283,60.39,5,20,1,3,19.0,89.0,148.42857142857142,153.35714285714286,47
422,12.43,10,20,1,3,47.0,368.0,108.0,150.64285714285714,85
430,13.1,15,21,1,4,85.0,116.0,147.14285714285714,175.0,390
72,60.43,10,21,1,4,390.0,186.0,123.0,160.42857142857142,17
394,67.09,15,21,1,4,17.0,79.0,154.71428571428572,155.14285714285714,301
117,29.64,10,21,1,4,301.0,224.0,132.57142857142858,157.21428571428572,69
283,44.04,15,21,1,4,69.0,19.0,134.57142857142858,144.5,33
450,87.64,0,22,1,5,33.0,47.0,155.14285714285714,151.78571428571428,191
428,47.2,5,22,1,5,191.0,85.0,151.57142857142858,129.78571428571428,60
344,64.0,15,22,1,5,60.0,390.0,118.14285714285714,132.64285714285714,156
161,67.26,5,22,1,5,156.0,17.0,137.85714285714286,130.42857142857142,155
213,63.57,10,22,1,5,155.0,301.0,106.57142857142857,130.64285714285714,82
118,22.65,15,23,1,6,82.0,69.0,108.0,120.28571428571429,79
52,49.67,20,23,1,6,79.0,33.0,104.71428571428571,119.64285714285714,10
370,94.94,5,23,1,6,10.0,191.0,124.57142857142857,139.85714285714286,330
113,25.15,20,23,1,6,330.0,60.0,118.28571428571429,134.92857142857142,16
353,70.59,20,23,1,6,16.0,156.0,130.71428571428572,124.42857142857143,243
115,76.71,15,24,1,0,243.0,155.0,109.85714285714286,123.85714285714286,9
450,32.96,5,24,1,0,9.0,82.0,148.14285714285714,127.35714285714286,350
143,55.63,5,24,1,0,350.0,79.0,143.42857142857142,125.71428571428571,46
396,85.2,15,24,1,0,46.0,10.0,170.14285714285714,137.42857142857142,197
113,68.26,5,24,1,0,197.0,330.0,135.85714285714286,130.21428571428572,90
348,18.35,15,25,1,1,90.0,16.0,160.57142857142858,139.42857142857142,189
154,85.26,15,25,1,1,189.0,243.0,146.0,138.35714285714286,141
113,24.77,10,25,1,1,141.0,9.0,154.42857142857142,132.14285714285714,68
475,64.48,10,25,1,1,68.0,350.0,167.28571428571428,157.71428571428572,440
97,64.45,15,25,1,1,440.0,46.0,162.85714285714286,153.14285714285714,15
200,59.48,5,26,1,2,15.0,197.0,141.71428571428572,155.92857142857142,49
56,60.54,5,26,1,2,49.0,90.0,131.57142857142858,133.71428571428572,19
389,40.86,15,26,1,2,19.0,189.0,141.85714285714286,151.21428571428572,261
374,52.83,5,26,1,2,261.0,141.0,124.14285714285714,135.07142857142858,17
307,32.56,5,26,1,2,17.0,68.0,124.28571428571429,139.35714285714286,69
410,93.34,0,27,1,3,69.0,440.0,84.85714285714286,126.07142857142857,164
224,94.27,0,27,1,3,164.0,15.0,113.42857142857143,138.14285714285714,215
349,82.96,0,27,1,3,215.0,49.0,145.71428571428572,143.71428571428572,275
470,34.98,20,27,1,3,275.0,19.0,195.71428571428572,163.64285714285714,369
363,68.15,20,27,1,3,369.0,261.0,181.42857142857142,161.64285714285714,161
158,53.25,20,28,1,4,161.0,17.0,192.85714285714286,158.5,97
134,25.09,20,28,1,4,97.0,69.0,185.14285714285714,154.71428571428572,15
291,73.65,10,28,1,4,15.0,164.0,200.71428571428572,142.78571428571428,273
486,66.32,15,28,1,4,273.0,215.0,176.0,144.71428571428572,42
223,60.37,10,28,1,4,42.0,275.0,160.14285714285714,152.92857142857142,164
154,88.06,15,29,1,5,164.0,369.0,114.14285714285714,154.92857142857142,47
283,74.33,5,29,1,5,47.0,161.0,125.57142857142857,153.5,241
273,16.0,10,29,1,5,241.0,97.0,147.42857142857142,170.14285714285714,250
72,27.81,20,29,1,5,250.0,15.0,154.42857142857142,169.78571428571428,64
456,73.71,10,29,1,5,64.0,273.0,121.14285714285714,160.92857142857142,40
498,68.76,10,30,1,6,40.0,42.0,133.71428571428572,154.85714285714286,130
363,27.16,20,30,1,6,130.0,164.0,135.14285714285714,147.64285714285714,174
146,62.69,5,30,1,6,174.0,47.0,148.71428571428572,131.42857142857142,142
